OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
53318,"POTSDAM, NY",3329,WM Supercenter,Retail,7494 US HIGHWAY 11,POTSDAM,ST. LAWRENCE,NY,13676-3577,Open,751b4868-1d81-48b5-b933-ca46a661db2f,-8351911.9986,5568402.636
53319,CHESAPEAKE CEDAR VA,3330,Neighborhood Market,Retail,673 CEDAR ROAD,CHESAPEAKE,CHESAPEAKE CITY,VA,23322-0000,Open,e7e8bf3b-7406-44ef-958c-585d983a7a3d,-8489641.3707,4398687.0962
53320,"PINE BLUFF, AR",3331,WM Supercenter,Retail,5501 S OLIVE ST,PINE BLUFF,JEFFERSON,AR,71603-7607,Open,d800625c-ec79-4633-91ba-16b532e7d74a,-10241741.4717,4052174.0959
53321,"FULTON, NY",3332,WM Supercenter,Retail,1818 STATE ROUTE 3,FULTON,OSWEGO,NY,13069-1565,Open,13f35f59-07f8-4d96-8e27-f0ae51083a7a,-8510229.1313,5361362.8503
53322,"MALONE, NY",3334,WM Supercenter,Retail,3222 STATE ROUTE 11,MALONE,FRANKLIN,NY,12953-4709,Open,7484f64f-0a58-4c18-a882-781953ed7b87,-8274309.0665,5597175.7485
53323,"WOODHAVEN, MI",3336,WM Supercenter,Retail,23800 ALLEN RD,WOODHAVEN,WAYNE,MI,48183-3374,Open,1e370882-f8b3-4b2f-b351-3ed5c9946c74,-9264877.8743,5181304.2014
53324,"RIO GRANDE, NJ",3337,WM Supercenter,Retail,3159 ROUTE 9 SOUTH,RIO GRANDE,CAPE MAY,NJ,08242-1012,Open,cd1dbc9d-fbe5-4aed-9ea9-fea3e2941ce2,-8334815.6626,4724701.0084
53325,SPARTANBURG CEDAR SPRINGS SC,3338,Neighborhood Market,Retail,203 CEDAR SPRINGS RD,SPARTANBURG,SPARTANBURG,SC,29302-4639,Open,edef1e26-08f4-41d8-8ba2-42729054acbf,-9115387.2641,4153112.1139
53326,"VINELAND, NJ",3339,WM Supercenter,Retail,1070 W LANDIS AVE,VINELAND,CUMBERLAND,NJ,08360-3422,Open,f8bf7ff8-e2b9-4a6b-a942-dac68bce55fd,-8354241.359,4792034.3631
53327,TULSA(FAIRGROUNDS) OK,3340,Neighborhood Market,Retail,4720 E 21ST ST,TULSA,TULSA,OK,74114-2109,Open,8881d1a2-8728-4f9f-b51a-7b94b4573c93,-10678184.6748,4318774.5175
53328,"DALLAS, TX",3341,Neighborhood Market,Retail,2305 N CENTRAL EXPY,DALLAS,DALLAS,TX,75204-3800,Open,d2bc748d-654b-47a7-914c-3361400f2c69,-10775074.8219,3868873.6453
53329,"AMELIA, OH",3342,WM Supercenter,Retail,1815 E OHIO PIKE,AMELIA,CLERMONT,OH,45102-2380,Open,f1f76ec3-8ba4-4eae-a46a-2d1b76ec5df4,-9372973.2187,4723852.0848
53330,"WINCHESTER-W, VA",3344,WM Supercenter,Retail,501 WAL MART DR,WINCHESTER,FREDERICK,VA,22603-3937,Open,3e712378-9f1c-4998-9183-10f6f4dc80e3,-8705800.6674,4749486.7061
53331,"WINTER HAVEN (E), FL",3347,WM Supercenter,Retail,7450 CYPRESS GARDENS BLVD,WINTER HAVEN,POLK,FL,33884-6200,Open,8e729a0a-d5f3-4f4b-b88c-a01987d7c3b3,-9089129.6679,3246054.4093
53332,"LAKE PARK (P.B.GARD), FL",3348,WM Supercenter,Retail,101 N CONGRESS AVE,LAKE PARK,PALM BEACH,FL,33403-3804,Open,2c376a93-9437-4fd3-9194-28d592c4d8a4,-8915392.782,3097904.5461
53333,"PORT CHARLOTTE (E), FL",3349,WM Supercenter,Retail,375 KINGS HWY,PORT CHARLOTTE,CHARLOTTE,FL,33983-5222,Open,fac90518-bd66-46f7-98b4-92778c4835bf,-9133546.1447,3126585.144
53334,"LAS VEGAS (BOULDER), NV",3350,WM Supercenter,Retail,5198 BOULDER HWY,LAS VEGAS,CLARK,NV,89122-6002,Open,94739685-79de-4a91-83ac-39ceebcd6f26,-12808749.7824,4315565.7782
53335,"NORTH LAS VEGAS, NV",3351,WM Supercenter,Retail,6464 N DECATUR BLVD,LAS VEGAS,CLARK,NV,89131-2959,Open,63ffe1aa-82f0-491e-88eb-ecb44e4a67b2,-12824347.2015,4338909.1642
53336,"STOCKTON-NW, CA",3352,WM Supercenter,Retail,10355 TRINITY PKWY,STOCKTON,SAN JOAQUIN,CA,95219-7243,Open,9e8828d9-d8df-47bb-ba6b-35814f455c44,-13511543.235,4586466.666
53337,"HENDERSON, NV",3354,Neighborhood Market,Retail,1401 AMERICAN PACIFIC DR,HENDERSON,CLARK,NV,89074-7401,Open,e9c2d55a-39a2-4455-97f8-bdf3ac758058,-12807118.8405,4306198.1572
53338,"LAS VEGAS (LAMB), NV",3355,Neighborhood Market,Retail,1400 S LAMB BLVD,LAS VEGAS,CLARK,NV,89104-5416,Open,53890575-8e4d-4071-9948-db86987fa623,-12810610.1537,4322130.9039
53339,"LAS VEGAS (WARM SPRI), NV",3356,Neighborhood Market,Retail,7445 S EASTERN AVE,LAS VEGAS,CLARK,NV,89123-1538,Open,58d3d940-8e45-487b-9ad8-49467ff486dd,-12815099.4462,4308187.6601
53340,"TUCSON, AZ",3357,Neighborhood Market,Retail,3925 E GRANT RD,TUCSON,PIMA,AZ,85712-2506,Open,4bbd084d-057d-4a9e-ab50-8e29e49d5a32,-12346307.9122,3796426.1069
53341,FORT MILL TOM HALL SC,3359,Neighborhood Market,Retail,500 N DOBYS BRIDGE ROAD,FORT MILL,YORK,SC,29715-6815,Open,95e5406e-1d9f-4ba2-87b2-f285fc7bcbad,-9009139.1553,4164693.5601
53342,"CHANDLER-AIRPORT, AZ",3360,WM Supercenter,Retail,2750 E GERMANN RD,CHANDLER,MARICOPA,AZ,85286-1403,Open,276c7c05-9ab1-4e19-9cfb-2893de8e59cb,-12444784.2507,3932727.6
53343,"OAK GROVE, KY",3362,WM Supercenter,Retail,14800 FORT CAMPBELL BLVD,OAK GROVE,CHRISTIAN,KY,42262-8304,Open,44c4d850-f2ff-4a40-83d7-e1c6ca6fc67d,-9733779.7259,4392934.6364
53344,"OWENSBORO, KY",3363,WM Supercenter,Retail,3151 LEITCHFIELD RD,OWENSBORO,DAVIESS,KY,42303-2115,Open,c3a9bf47-a76f-40e0-8c2f-84e97b6cab57,-9691575.2786,4545179.9117
53345,"WEST ST. PAUL, MN",3364,WM Supercenter,Retail,1644 ROBERT ST S,SAINT PAUL,DAKOTA,MN,55118-3918,Open,f9037519-d0d0-414f-bbb1-96e8a7a8ae8f,-10361334.8949,5605331.3219
53347,"CENTERVILLE, UT",3366,WM Supercenter,Retail,221 W PARRISH LN,CENTERVILLE,DAVIS,UT,84014-1829,Open,414349ce-d65c-4b7c-a8a9-0f28426ae53d,-12454850.427,5000402.5449
53348,NORTH CHARLESTON SC,3367,WM Supercenter,Retail,4920 CENTRE POINTE DR,NORTH CHARLESTON,COLLETON,SC,29418-6927,Open,8e300081-1c8d-4105-8543-0982d7a1097c,-8907533.9599,3879070.248
53349,"PALMETTO, FL",3370,WM Supercenter,Retail,508 10TH ST E,PALMETTO,MANATEE,FL,34221-4062,Open,40f1e1a1-5972-4f77-8d20-ab1bba7197f5,-9190445.6553,3189064.0573
